Track_Name,Album_Title,Artist
A Estrada,Cidade Negra - Hits,Cidade Negra
Falar A Verdade,Cidade Negra - Hits,Cidade Negra
Firmamento,Cidade Negra - Hits,Cidade Negra
Pensamento,Cidade Negra - Hits,Cidade Negra
Realidade Virtual,Cidade Negra - Hits,Cidade Negra
Doutor,Cidade Negra - Hits,Cidade Negra
Na Frente Da TV,Cidade Negra - Hits,Cidade Negra
Downtown,Cidade Negra - Hits,Cidade Negra
Sábado A Noite,Cidade Negra - Hits,Cidade Negra
A Cor Do Sol,Cidade Negra - Hits,Cidade Negra
Eu Também Quero Beijar,Cidade Negra - Hits,Cidade Negra
Noite Do Prazer,Na Pista,Cláudio Zoli
À Francesa,Na Pista,Cláudio Zoli
Cada Um Cada Um (A Namoradeira),Na Pista,Cláudio Zoli
Linha Do Equador,Na Pista,Cláudio Zoli
Amor Demais,Na Pista,Cláudio Zoli
Férias,Na Pista,Cláudio Zoli
Gostava Tanto De Você,Na Pista,Cláudio Zoli
Flor Do Futuro,Na Pista,Cláudio Zoli
Felicidade Urgente,Na Pista,Cláudio Zoli
Livre Pra Viver,Na Pista,Cláudio Zoli
"Dig-Dig, Lambe-Lambe (Ao Vivo)",Axé Bahia 2001,Various Artists
Pererê,Axé Bahia 2001,Various Artists
TriboTchan,Axé Bahia 2001,Various Artists
"Tapa Aqui, Descobre Ali",Axé Bahia 2001,Various Artists
Daniela,Axé Bahia 2001,Various Artists
Bate Lata,Axé Bahia 2001,Various Artists
Garotas do Brasil,Axé Bahia 2001,Various Artists
Levada do Amor (Ailoviu),Axé Bahia 2001,Various Artists
Lavadeira,Axé Bahia 2001,Various Artists
Reboladeira,Axé Bahia 2001,Various Artists
É que Nessa Encarnação Eu Nasci Manga,Axé Bahia 2001,Various Artists
Reggae Tchan,Axé Bahia 2001,Various Artists
My Love,Axé Bahia 2001,Various Artists
Latinha de Cerveja,Axé Bahia 2001,Various Artists
You Shook Me,BBC Sessions [Disc 1] [Live],Led Zeppelin
I Can't Quit You Baby,BBC Sessions [Disc 1] [Live],Led Zeppelin
Communication Breakdown,BBC Sessions [Disc 1] [Live],Led Zeppelin
Dazed and Confused,BBC Sessions [Disc 1] [Live],Led Zeppelin
The Girl I Love She Got Long Black Wavy Hair,BBC Sessions [Disc 1] [Live],Led Zeppelin
What is and Should Never Be,BBC Sessions [Disc 1] [Live],Led Zeppelin
Communication Breakdown(2),BBC Sessions [Disc 1] [Live],Led Zeppelin
Travelling Riverside Blues,BBC Sessions [Disc 1] [Live],Led Zeppelin
Whole Lotta Love,BBC Sessions [Disc 1] [Live],Led Zeppelin
Somethin' Else,BBC Sessions [Disc 1] [Live],Led Zeppelin
Communication Breakdown(3),BBC Sessions [Disc 1] [Live],Led Zeppelin
I Can't Quit You Baby(2),BBC Sessions [Disc 1] [Live],Led Zeppelin
You Shook Me(2),BBC Sessions [Disc 1] [Live],Led Zeppelin
How Many More Times,BBC Sessions [Disc 1] [Live],Led Zeppelin
Debra Kadabra,Bongo Fury,Frank Zappa & Captain Beefheart
Carolina Hard-Core Ecstasy,Bongo Fury,Frank Zappa & Captain Beefheart
Sam With The Showing Scalp Flat Top,Bongo Fury,Frank Zappa & Captain Beefheart
Poofter's Froth Wyoming Plans Ahead,Bongo Fury,Frank Zappa & Captain Beefheart
200 Years Old,Bongo Fury,Frank Zappa & Captain Beefheart
Cucamonga,Bongo Fury,Frank Zappa & Captain Beefheart
Advance Romance,Bongo Fury,Frank Zappa & Captain Beefheart
Man With The Woman Head,Bongo Fury,Frank Zappa & Captain Beefheart
Muffin Man,Bongo Fury,Frank Zappa & Captain Beefheart
Vai-Vai 2001,Carnaval 2001,Various Artists
X-9 2001,Carnaval 2001,Various Artists
Gavioes 2001,Carnaval 2001,Various Artists
Nene 2001,Carnaval 2001,Various Artists
Rosas De Ouro 2001,Carnaval 2001,Various Artists
Mocidade Alegre 2001,Carnaval 2001,Various Artists
Camisa Verde 2001,Carnaval 2001,Various Artists
